ID_Cliente,Nome_Completo,Data_Nascimento,Idade,Genero,Estado_Civil,Nacionalidade,Nivel_Educacional,Profissao,Renda_Mensal,Numero_Dependentes,Residencia_Propria,Tempo_Residencia_Anos,CEP,Score_Credito,ID_Conta,Tipo_Conta,Data_Abertura_Conta,Tempo_Relacionamento_Anos,Saldo_Atual,Limite_Cheque_Especial,Numero_Transacoes_Mes_Media,Valor_Transacao_Media,Tipo_Transacao_Mais_Comum,Frequencia_Transacoes_Online,Tem_Emprestimo_Ativo,Tipo_Emprestimo,Valor_Emprestimo,Taxa_Juros_Emprestimo,Prazo_Emprestimo_Meses,Status_Emprestimo,Canais_Utilizados,Numero_Reclamacoes_Ultimo_Ano,Satisfacao_Cliente,Saldo_Anterior_3M,Variacao_Saldo_Percentual_3M,Limite_Cartao_Credito,Utilizacao_Credito_Percentual,Numero_Emprestimos_Anteriores,Valor_Total_Emprestimos_Anteriores,Taxa_Media_Emprestimos_Anteriores,Perfil_Investidor,Segmento_Banco,Possui_Cartao_Credito,Possui_Seguro_Vida,Possui_Previdencia,Possui_Investimentos,Percentual_Pagamento_Fatura,Atraso_Medio_Pagamentos_Dias,Percentual_Comprometimento_Renda,Risco_Inadimplencia
19,Bernardo Aparecida,1984-02-26,40,Feminino,Casado,Brasileira,Ensino Médio,Gerente,3954.07,2.0,Não,2.6,84535-724,684,19,Salário,2008-07-27,16.583162217659137,31686.45,0.0,7,373.25,Transferência,Média,Não,,,,,,,0.0,Neutro,33858.04,-6.41,6775.51,27.76,4,91173.53,1.73,Arrojado,Média Renda,Não,Não,Não,Sim,,,20.8,42.0
20,Heloísa Vargas,1989-02-25,36,Masculino,Solteiro,Brasileira,Ensino Médio,Empresário,4082.47,0.0,Sim,1.9,23437-405,741,20,Poupança,2024-08-03,0.5639972621492129,32660.5,0.0,7,1803.57,Transferência,Alta,Sim,Pessoal,20900.29,3.67,48.0,Em Dia,Internet Banking,0.0,Satisfeito,31434.26,3.9,7998.07,50.13,0,0.0,,Moderado,Média Renda,Sim,Não,Não,Não,94.13,1.0,100.0,78.9
21,Bruno da Conceição,1977-02-25,48,Masculino,Casado,Brasileira,Superior Completo,Empresário,6561.26,1.0,Não,1.9,83946-227,835,21,Corrente,2006-05-22,18.765229295003422,37008.62,8561.99,43,624.71,Compra Débito,Média,Sim,Pessoal,18054.55,3.94,24.0,Em Dia,Mobile Banking,0.0,Satisfeito,37704.37,-1.85,26267.54,20.94,6,300977.07,0.99,Conservador,Média Renda,Sim,Sim,Não,Não,84.72,0.0,92.86,62.9
22,Mateus da Mota,1995-02-26,29,Feminino,Solteiro,Portuguesa,Superior Incompleto,Comerciante,8732.15,0.0,Não,1.9,72617-784,734,22,Premium,2024-03-08,0.9691991786447639,59732.14,27776.3,48,1364.08,Compra Débito,Alta,Não,,,,,,Internet Banking,,Neutro,57889.84,3.18,58339.19,65.42,0,0.0,,Moderado,Private,Não,Sim,Sim,Sim,,,17.57,35.4
23,Maria Clara Castro,1989-02-25,36,Feminino,Casado,Brasileira,Pós-Graduação,Recepcionista,42679.52,4.0,Sim,7.9,74859-972,876,23,Digital,2011-09-12,13.456536618754278,193627.46,0.0,41,2859.6,Pagamento de Boleto,Alta,Não,,,,,,Mobile Banking,0.0,Neutro,190057.75,1.88,60360.41,16.49,1,192399.82,0.97,Arrojado,Private,Sim,Não,Não,Sim,93.66,0.2,41.97,34.0
24,Dr. Gustavo Henrique Rios,1987-02-26,37,Feminino,Casado,Brasileira,Superior Incompleto,Motorista,9057.81,0.0,Sim,,51676-881,874,24,Corrente,2009-02-07,16.04928131416838,-2544.11,13306.15,39,816.16,Compra Débito,Alta,Sim,Pessoal,67154.76,2.14,24.0,Em Dia,Internet Banking,1.0,Neutro,-2678.12,-5.0,16707.6,44.55,2,200074.76,1.17,Conservador,Alta Renda,Sim,Não,Sim,Não,73.1,2.0,100.0,68.6
25,Brayan Pereira,1983-02-26,41,Masculino,Solteiro,Brasileira,Ensino Médio,Gerente,4507.49,2.0,Não,,81807-157,727,25,Corrente,2020-01-12,5.122518822724161,21483.55,4887.8,15,537.22,Depósito,Média,Sim,Veículo,46797.17,1.04,48.0,Em Dia,Internet Banking,0.0,Neutro,22744.44,-5.54,9228.08,69.33,2,39686.55,2.15,Conservador,Média Renda,Sim,Sim,Não,Não,69.18,0.7,100.0,79.4
26,Eloá Nascimento,1967-02-26,57,Feminino,Casado,Brasileira,Ensino Fundamental,Contador,,1.0,Sim,,39952-369,732,26,Corrente,1993-04-03,31.89869952087611,17438.55,3820.94,22,433.27,Transferência,Média,Não,,,,,,Internet Banking,0.0,Neutro,23570.38,-26.01,6866.12,19.27,3,47406.82,1.99,Conservador,Varejo,Sim,Não,Sim,Não,72.87,3.6,58.54,66.9
27,Srta. Elisa Martins,1992-02-26,32,Masculino,Solteiro,Brasileira,Pós-Graduação,Engenheiro,11977.57,0.0,Sim,2.6,36035-392,841,27,Corrente,2023-01-04,2.1437371663244353,35140.03,12532.28,47,1195.52,Compra Débito,Alta,Sim,Imobiliário,4852628.59,1.07,180.0,Em Dia,Mobile Banking,0.0,Satisfeito,32862.18,6.93,18386.28,6.84,0,0.0,,Arrojado,Alta Renda,Não,Sim,Não,Sim,,,100.0,65.9
28,Júlia Porto,1981-02-25,44,Feminino,Divorciado,Brasileira,Ensino Fundamental,Gerente,5475.26,1.0,Sim,11.7,34395-119,669,28,Poupança,2023-02-28,1.9931553730321698,77647.8,0.0,8,,Saque,Média,Sim,Pessoal,25121.21,2.36,36.0,Em Atraso,Agência Física,0.0,Insatisfeito,74504.18,4.22,12487.12,28.91,1,22978.44,2.16,Moderado,Alta Renda,Sim,Sim,Sim,Não,57.53,0.1,83.28,100.0
29,Dra. Hellena Rodrigues,1977-02-25,48,Masculino,Casado,Outras,Ensino Fundamental,Comerciante,4897.15,1.0,Não,3.5,56915-638,687,29,Corrente,2010-06-06,14.72416153319644,15921.1,6546.95,26,478.29,Depósito,Alta,Não,,,,,,Mobile Banking,0.0,Insatisfeito,15312.7,3.97,11251.12,38.0,2,93177.67,2.22,Moderado,Média Renda,Sim,Sim,Não,Não,64.79,0.7,62.66,64.7
30,Sr. Ian Andrade,2000-02-26,24,Masculino,Solteiro,Argentina,Ensino Fundamental,,1693.97,0.0,Não,1.2,25697-279,656,30,Salário,2022-01-06,3.137577002053388,4865.68,0.0,11,186.71,Pagamento de Boleto,Alta,Não,,,,,,Internet Banking,0.0,Neutro,4929.67,-1.3,2700.81,53.26,0,0.0,,Moderado,Varejo,Sim,Não,Não,Não,88.21,6.7,79.1,94.1
31,Dr. João Felipe Azevedo,1977-02-25,48,Feminino,Casado,Brasileira,Ensino Médio,Recepcionista,5120.92,1.0,Não,5.2,32577-897,766,31,Corrente,2012-01-10,13.127994524298426,39294.84,5485.81,38,581.2,Pagamento de Boleto,,Não,,,,,,Internet Banking,0.0,Insatisfeito,32720.99,20.09,13567.08,45.05,1,27608.67,2.1,Arrojado,Média Renda,Sim,Não,Não,Sim,93.06,1.1,100.0,76.7
32,Levi Cunha,1994-02-26,30,Masculino,Casado,Brasileira,Superior Incompleto,Vendedor,6347.0,2.0,Não,1.7,15131-811,707,32,Corrente,2022-08-19,2.521560574948665,8257.27,7057.14,41,842.46,Transferência,Média,Não,,,,,,Internet Banking,0.0,Neutro,10572.98,-21.9,10561.03,18.73,0,0.0,,Moderado,Média Renda,Não,Sim,Não,Não,,,21.63,40.1
33,Sara Gonçalves,1999-02-26,25,Feminino,Casado,Brasileira,Superior Completo,Empresário,15688.93,1.0,Sim,3.4,15173-559,810,33,Poupança,2023-09-05,1.4757015742642026,242744.84,0.0,7,3712.68,Depósito,Alta,Não,,,,,,Mobile Banking,0.0,Neutro,228056.75,6.44,32691.11,32.51,0,0.0,,Moderado,Private,Não,Não,Sim,Não,,,23.67,30.8
34,Natália Casa Grande,1954-02-26,70,Feminino,Divorciado,Brasileira,Superior Incompleto,Aposentado,3630.98,0.0,Não,,16368-608,673,34,Corrente,2000-06-10,24.711841204654345,24894.8,5254.49,18,644.86,Compra Débito,Média,Não,,,,,,Mobile Banking,0.0,Satisfeito,24353.85,2.22,6180.43,35.02,2,71144.96,2.69,Conservador,Média Renda,Não,Não,Não,Não,,,21.05,43.2
35,Davi Miguel da Cruz,1951-02-26,73,Feminino,Viúvo,Brasileira,Superior Incompleto,Estudante,3826.95,0.0,Sim,24.0,74104-766,725,35,Digital,1991-04-05,33.894592744695416,17145.35,0.0,20,,Transferência,Alta,Não,,,,,,Agência Física,1.0,Neutro,18171.53,-5.65,10866.38,45.29,13,395224.31,1.92,Conservador,Varejo,Sim,Sim,Não,Sim,67.18,1.9,90.0,78.2
36,Dra. Zoe da Luz,1966-02-26,58,Masculino,Solteiro,Brasileira,Superior Completo,Médico,11923.25,0.0,Sim,6.6,97658-342,874,36,Corrente,2018-03-25,6.924024640657084,19421.7,14809.27,46,781.1,Transferência,Média,Sim,Pessoal,102963.94,2.08,24.0,Em Dia,Agência Física,0.0,Satisfeito,30091.31,-35.46,15370.78,26.84,3,230379.85,1.1,Moderado,Alta Renda,Sim,Sim,Sim,Não,88.32,0.9,99.96,65.3
37,Dra. Mariane Pacheco,1989-02-25,36,Masculino,Solteiro,,Superior Incompleto,Contador,7108.19,0.0,Não,3.2,29205-169,837,37,Corrente,2011-12-19,13.188227241615332,123559.82,9941.47,25,,Compra Crédito,Média,Sim,Imobiliário,1828063.67,1.18,180.0,Em Dia,Agência Física,0.0,Neutro,105091.66,17.57,12423.58,19.7,4,68893.84,1.15,Conservador,Alta Renda,Sim,Sim,Não,Não,63.22,0.8,100.0,68.7
38,Maria Cecília Câmara,1997-02-25,28,Feminino,Divorciado,Brasileira,Superior Incompleto,Enfermeiro,7836.94,1.0,Não,0.3,26522-884,767,38,Corrente,2015-11-18,9.273100616016427,11611.94,11459.25,30,368.16,Transferência,Alta,Não,,,,,,Mobile Banking,0.0,Neutro,12106.62,-4.09,19906.0,32.17,0,0.0,,Moderado,Média Renda,Sim,Sim,Sim,Sim,74.14,0.2,76.86,62.3
39,Thomas Monteiro,1973-02-25,52,Masculino,Viúvo,Brasileira,Pós-Graduação,Gerente,4595.67,0.0,Não,,71134-274,663,39,Corrente,2021-09-13,3.4524298425735798,4579.9,6340.04,16,316.67,Compra Débito,Média,Não,,,,,,Agência Física,0.0,Neutro,5096.59,-10.14,11176.46,7.09,0,0.0,,Moderado,Média Renda,Sim,Sim,Sim,Sim,71.39,0.4,35.95,52.9
40,Benicio Camargo,1984-02-26,40,Masculino,Casado,Brasileira,Ensino Médio,Motorista,5138.59,3.0,Não,,55967-753,708,40,Corrente,2024-07-10,0.6297056810403833,6435.92,6165.94,30,,Pagamento de Boleto,Média,Não,,,,,,Telefone,0.0,Neutro,6865.53,-6.26,13614.46,75.56,1,7044.07,1.7,Conservador,Média Renda,Sim,Não,Não,Não,82.26,0.9,100.0,81.9
41,Emanuel Vieira,1996-02-26,28,Feminino,Casado,Brasileira,Superior Completo,Comerciante,8856.67,,Não,2.5,10574-837,777,41,Corrente,2021-09-06,3.4715947980835042,29878.25,8819.28,45,519.17,Transferência,Média,Não,,,,,,Mobile Banking,0.0,Satisfeito,23585.71,26.68,12091.54,53.64,0,0.0,,Moderado,Alta Renda,Sim,Sim,Não,Não,59.86,1.6,53.89,54.0
42,Mariana Peixoto,1982-02-26,42,Feminino,Casado,Brasileira,Ensino Médio,Autônomo,7592.4,1.0,Sim,24.0,63633-247,877,42,Salário,2002-11-21,22.26420260095825,7927.69,0.0,14,660.17,Saque,Alta,Sim,Veículo,75093.16,1.42,72.0,Em Dia,Agência Física,0.0,Neutro,7614.35,4.12,27851.75,31.02,7,359284.17,1.1,Arrojado,Média Renda,Sim,Sim,Não,Sim,82.97,0.1,100.0,62.6
43,Matheus Garcia,2001-02-25,24,Masculino,Solteiro,Brasileira,Superior Incompleto,Enfermeiro,4539.6,0.0,Sim,1.6,37656-937,641,43,Poupança,2023-10-30,1.325119780971937,37303.66,0.0,5,1375.98,Depósito,Alta,Não,,,,,,,0.0,Neutro,36384.36,2.53,10009.84,73.5,0,0.0,,Moderado,Média Renda,Sim,Não,Não,Não,66.16,0.2,100.0,86.5
44,Nina Moura,1958-02-26,66,Feminino,Divorciado,Brasileira,Ensino Fundamental,Aposentado,1213.66,0.0,Sim,28.5,64316-482,715,44,Digital,1987-02-01,38.06707734428473,5876.73,0.0,14,116.97,Compra Débito,Baixa,Não,,,,,,Internet Banking,0.0,Neutro,5758.33,2.06,2588.01,50.63,9,88642.45,1.72,Moderado,Varejo,Sim,Sim,Sim,Não,86.98,1.7,94.51,80.9
45,Yuri Albuquerque,1990-02-26,34,Feminino,Solteiro,Brasileira,Superior Completo,Recepcionista,12636.32,0.0,Sim,6.0,85679-356,862,45,Corrente,2010-04-09,14.882956878850102,99635.77,19680.15,36,918.3,Pagamento de Boleto,Alta,Sim,Pessoal,126024.57,3.89,12.0,Em Dia,Agência Física,0.0,Neutro,104782.67,-4.91,26044.1,14.55,1,69694.95,0.82,Moderado,Alta Renda,Sim,Sim,Não,Não,73.99,0.3,100.0,64.7
46,Bruna Rodrigues,1974-02-26,50,Feminino,Casado,Brasileira,Superior Completo,Enfermeiro,11417.97,0.0,Sim,10.2,,879,46,Salário,2023-10-10,1.379876796714579,36676.9,0.0,23,720.92,Depósito,,Sim,Imobiliário,3536130.63,0.92,180.0,Em Dia,Agência Física,0.0,Neutro,36520.98,0.43,17677.37,21.26,3,532947.15,1.22,Arrojado,Alta Renda,Sim,Sim,Não,Não,80.83,0.4,100.0,63.3
47,Juliana Vargas,1989-02-25,36,Masculino,Solteiro,Brasileira,Superior Completo,Engenheiro,13687.99,0.0,Sim,,28613-469,869,47,Salário,2014-11-19,10.269678302532512,34686.25,0.0,29,1275.05,Saque,Alta,Sim,Imobiliário,4118508.87,0.98,240.0,Em Dia,Mobile Banking,0.0,Muito Satisfeito,32645.14,6.25,44372.82,44.62,0,0.0,,Moderado,Alta Renda,Sim,Sim,Sim,Não,90.3,0.6,100.0,64.9
48,Manuela Camargo,1981-02-25,44,Masculino,Solteiro,Brasileira,Ensino Médio,Autônomo,,0.0,Sim,21.0,61724-698,721,48,Digital,2001-07-28,23.581108829568787,7472.34,0.0,11,127.69,Compra Crédito,Alta,Não,,,,,,Mobile Banking,0.0,Neutro,8215.96,-9.05,4398.06,32.48,5,58211.74,2.72,Conservador,Varejo,Não,Não,Não,Não,,,18.09,36.9
49,Pedro Henrique Castro,1979-02-26,45,Feminino,Solteiro,Brasileira,Ensino Médio,Advogado,4227.01,0.0,Não,4.4,57701-828,647,49,Corrente,2013-04-28,11.83025325119781,5615.75,4605.87,27,600.11,Compra Crédito,Baixa,Não,,,,,,Mobile Banking,3.0,Muito Insatisfeito,6936.78,-19.04,8243.07,63.08,3,59870.81,3.99,Conservador,Média Renda,Sim,Sim,Não,Não,59.22,5.3,93.67,98.0
50,Agatha Silveira,1993-02-25,32,Feminino,Solteiro,Brasileira,Superior Completo,Advogado,12660.74,0.0,Sim,3.6,31153-267,798,50,Digital,2019-09-05,5.475701574264202,3919.34,0.0,54,2837.6,Saque,Alta,Não,,,,,,Telefone,0.0,Neutro,3892.26,0.7,18514.51,65.85,1,49126.22,2.5,Moderado,Alta Renda,Sim,Sim,Não,Sim,97.83,1.5,100.0,74.7
51,Sra. Sarah Teixeira,1951-02-26,73,Masculino,Solteiro,Brasileira,Pós-Graduação,Aposentado,7486.39,0.0,Sim,,56500-973,855,51,Salário,1997-05-15,27.783709787816566,74402.33,0.0,11,,Compra Débito,Média,Sim,Pessoal,54213.65,3.27,24.0,Em Dia,Agência Física,0.0,Neutro,69921.17,6.41,24365.56,21.94,6,232547.59,0.93,Moderado,Alta Renda,Sim,Sim,Não,Não,72.81,1.3,100.0,68.4
52,Thiago Caldeira,1968-02-26,56,Feminino,Casado,Brasileira,Superior Completo,Empresário,19187.24,1.0,Sim,,64471-635,796,52,Premium,1991-10-16,33.36344969199179,2320130.27,53974.75,51,7661.76,Compra Débito,,Não,,,,,,,0.0,Neutro,1980739.7,17.13,110337.28,37.23,6,650511.98,2.61,Arrojado,Private,Sim,Não,Não,Sim,79.91,0.4,100.0,71.6
53,Letícia Porto,1955-02-26,69,Masculino,Solteiro,Brasileira,Pós-Graduação,Professor,7915.3,1.0,Sim,51.0,76367-440,802,53,Salário,1981-09-01,43.48528405201917,100038.37,0.0,18,2103.87,Transferência,Média,Não,,,,,,Mobile Banking,0.0,,101913.92,-1.84,17943.9,5.72,10,333766.97,1.29,Moderado,Alta Renda,Sim,Sim,Não,Não,51.15,0.0,23.18,31.4
54,Fernanda Cassiano,1959-02-26,65,Feminino,Viúvo,Brasileira,Ensino Fundamental,Aposentado,2600.7,0.0,Não,2.3,33812-233,662,54,Poupança,2008-04-03,16.89801505817933,24885.24,0.0,3,636.02,Saque,Média,Não,,,,,,Agência Física,1.0,Neutro,23960.05,3.86,6286.87,53.98,4,79234.56,2.71,Conservador,Média Renda,Não,Sim,Sim,Não,,,17.11,42.4
55,Sr. Vitor Hugo Vasconcelos,1977-02-25,48,Feminino,Casado,Brasileira,Pós-Graduação,Motorista,6615.29,0.0,Não,6.3,30461-910,743,55,Corrente,2003-06-08,21.71937029431896,17176.3,9580.17,47,729.31,Transferência,Baixa,Não,,,,,,Internet Banking,0.0,Neutro,15308.66,12.2,16830.4,26.25,5,123150.26,2.47,Arrojado,Média Renda,Sim,Sim,Não,Sim,91.24,1.4,93.49,76.6
56,Agatha Peixoto,1957-02-25,68,Feminino,Divorciado,Brasileira,Superior Completo,Analista,5938.8,0.0,Sim,3.5,98838-457,783,56,Corrente,1986-12-01,38.23682409308692,17997.48,5078.96,32,782.53,Pagamento de Boleto,Alta,Não,,,,,,Telefone,0.0,Neutro,20538.07,-12.37,7759.16,20.92,17,1402729.99,1.54,Conservador,Média Renda,Não,Não,Não,Não,,,16.68,30.0
57,Dr. Antony Camargo,1997-02-25,28,Masculino,Casado,Brasileira,Superior Completo,Técnico,6706.65,2.0,Sim,7.1,63588-698,758,57,Digital,2023-08-02,1.568788501026694,9009.54,0.0,33,,Pagamento de Boleto,Alta,Não,,,,,,Internet Banking,0.0,Neutro,8831.68,2.01,20428.7,55.87,0,0.0,,Arrojado,Média Renda,Não,Não,Não,Sim,,,21.78,35.1
