Nome_Completo,Data_Nascimento,Idade,Genero,Estado_Civil,Nacionalidade,Nivel_Educacional,Profissao,Renda_Mensal,Numero_Dependentes,Residencia_Propria,Tempo_Residencia_Anos,CEP,Score_Credito,Tipo_Conta,Data_Abertura_Conta,Tempo_Relacionamento_Anos,Saldo_Atual,Limite_Cheque_Especial,Numero_Transacoes_Mes_Media,Valor_Transacao_Media,Tipo_Transacao_Mais_Comum,Frequencia_Transacoes_Online,Tem_Emprestimo_Ativo,Tipo_Emprestimo,Valor_Emprestimo,Taxa_Juros_Emprestimo,Prazo_Emprestimo_Meses,Status_Emprestimo,Canais_Utilizados,Numero_Reclamacoes_Ultimo_Ano,Satisfacao_Cliente,Saldo_Anterior_3M,Variacao_Saldo_Percentual_3M,Limite_Cartao_Credito,Utilizacao_Credito_Percentual,Numero_Emprestimos_Anteriores,Valor_Total_Emprestimos_Anteriores,Taxa_Media_Emprestimos_Anteriores,Perfil_Investidor,Segmento_Banco,Possui_Cartao_Credito,Possui_Seguro_Vida,Possui_Previdencia,Possui_Investimentos,Percentual_Pagamento_Fatura,Atraso_Medio_Pagamentos_Dias,Percentual_Comprometimento_Renda,Risco_Inadimplencia
Srta. Jade Garcia,1941-02-25,84,Masculino,Casado,Alemã,Superior Completo,Contador,6975.95,2.0,Sim,,16854-775,753,Poupança,1976-09-07,48.46817248459959,424088.13,0.0,7,,Depósito,Média,Não,,,,,,Agência Física,0.0,Insatisfeito,417132.38,1.67,11051.94,58.87,11,720116.05,2.5,Moderado,Alta Renda,Sim,Sim,Não,Sim,91.79,0.3,100.0,1
Ísis Albuquerque,1942-02-26,82,Feminino,Casado,,Superior Incompleto,Aposentado,1896.45,0.0,Sim,40.0,81805-668,733,Poupança,1990-11-16,34.27789185489391,42945.67,0.0,5,695.1,Saque,Média,Não,,,,,,Telefone,0.0,Satisfeito,41844.56,2.63,5469.93,59.93,19,281398.02,2.72,Moderado,Média Renda,Sim,Sim,Não,Não,69.57,0.3,100.0,1
Alice Albuquerque,1942-02-26,82,Feminino,Casado,Brasileira,Ensino Fundamental,Aposentado,2168.29,1.0,Não,31.0,93983-293,681,Poupança,1968-01-12,57.12251882272416,27863.88,0.0,3,575.22,Depósito,Média,Não,,,,,,Agência Física,0.0,Neutro,28034.72,-0.61,5230.08,46.67,19,151751.69,1.98,Conservador,Média Renda,Sim,Não,Não,Não,75.2,0.3,100.0,1
Ana Beatriz Correia,1942-02-26,82,Masculino,Viúvo,Brasileira,,Motorista,5236.64,0.0,Não,6.8,70113-646,764,Corrente,1972-03-06,52.97467488021903,18251.66,6973.17,41,731.43,Pagamento de Boleto,Média,Não,,,,,,,1.0,Neutro,15354.42,18.87,5697.77,9.75,17,1069608.72,2.54,Moderado,Média Renda,Sim,Não,Não,Não,79.18,0.8,23.48,0
Mirella Novaes,1942-02-26,82,Feminino,Divorciado,Brasileira,Ensino Médio,Aposentado,2562.57,0.0,Não,,97633-964,692,Salário,1970-08-25,54.50513347022587,28525.47,0.0,5,362.03,Transferência,Média,Sim,Pessoal,12424.82,2.14,12.0,Em Dia,Agência Física,0.0,Satisfeito,26547.29,7.45,3618.4,25.7,18,297980.08,1.84,Moderado,Média Renda,Sim,Não,Não,Não,74.86,4.5,91.68,1
Oliver Pastor,1942-02-26,82,Feminino,Solteiro,Brasileira,Ensino Médio,Aposentado,5418.69,0.0,Sim,35.4,70854-854,757,Salário,2010-05-28,14.74880219028063,23141.77,0.0,15,976.85,Depósito,Média,Não,,,,,,Mobile Banking,0.0,Insatisfeito,22141.45,4.52,17477.96,21.96,8,225347.79,1.87,Moderado,Média Renda,Sim,Sim,Não,Não,78.27,0.2,61.72,0
Cecilia Souza,1942-02-26,82,Feminino,Casado,Brasileira,Pós-Graduação,Comerciante,6702.03,0.0,Sim,14.9,68566-531,827,Corrente,1968-07-18,56.60780287474333,33056.64,6181.98,33,431.52,Compra Crédito,Baixa,Não,,,,,,Agência Física,0.0,Satisfeito,33598.73,-1.61,21271.35,13.52,24,903470.62,1.18,Moderado,Média Renda,Sim,Sim,Não,Sim,66.07,0.1,55.22,0
Sarah Garcia,1942-02-26,82,Feminino,Casado,Brasileira,,Empresário,,0.0,Não,6.6,28224-322,791,Digital,1980-11-17,44.27378507871321,24167.76,0.0,21,706.49,Compra Débito,Média,Sim,Veículo,99567.3,1.82,36.0,Em Dia,Mobile Banking,0.0,Satisfeito,24280.86,-0.47,19591.4,47.97,9,111190.71,2.71,Moderado,Média Renda,Sim,Não,Não,Sim,69.29,1.0,100.0,1
Carolina Carvalho,1942-02-26,82,Masculino,Divorciado,Argentina,Superior Completo,Aposentado,2126.21,0.0,Sim,35.8,23593-430,792,Corrente,1981-04-26,43.83572895277207,46026.97,3161.99,26,294.69,Saque,Baixa,Sim,Veículo,24396.18,1.59,72.0,Em Dia,Agência Física,0.0,Satisfeito,41057.14,12.1,6633.01,16.28,18,275917.08,2.37,Moderado,Média Renda,Não,Não,Não,Não,,,43.28,0
Antonella Aragão,1942-02-26,82,Masculino,Casado,,Ensino Médio,Aposentado,2033.8,0.0,Não,10.7,46511-709,524,Corrente,1978-12-30,46.157426420260094,6147.71,2207.69,15,931.83,Compra Débito,Alta,Sim,Pessoal,13967.68,2.54,24.0,Inadimplente,,1.0,Muito Insatisfeito,6943.67,-11.46,1536.12,97.54,14,121089.01,3.2,Conservador,Varejo,Não,Não,Não,Não,,,41.95,1
Dante Dias,1942-02-26,82,Masculino,Casado,Brasileira,,Recepcionista,8874.77,0.0,Sim,30.1,85176-466,943,Corrente,1964-12-21,60.18069815195072,25836.57,11608.32,46,1410.86,Pagamento de Boleto,Baixa,Sim,Pessoal,43998.78,3.01,36.0,Em Dia,Agência Física,0.0,Satisfeito,28103.82,-8.07,17463.8,12.17,26,2742562.95,1.18,Moderado,Alta Renda,Sim,Sim,Não,Não,83.23,1.2,50.43,0
Dom da Mata,1942-02-26,82,Masculino,Casado,Brasileira,Superior Incompleto,Aposentado,2243.43,0.0,Não,5.5,94746-340,707,Poupança,1971-09-17,53.44284736481862,96192.51,0.0,5,692.02,Transferência,Alta,Não,,,,,,Agência Física,0.0,Neutro,92243.38,4.28,6401.52,72.72,14,173224.24,2.45,Moderado,Alta Renda,Sim,Não,Não,Não,79.02,1.2,100.0,1
Nathan Ribeiro,1942-02-26,82,Masculino,Casado,Brasileira,Superior Completo,Motorista,5589.05,0.0,Sim,22.5,36486-728,795,Corrente,1977-05-02,47.81930184804928,9031.98,6790.06,30,299.1,Compra Crédito,Média,Não,,,,,,Internet Banking,0.0,Neutro,9099.99,-0.75,15796.5,42.51,12,219079.1,2.18,Moderado,Média Renda,Sim,Sim,Não,Sim,81.81,0.3,100.0,1
Sabrina Rodrigues,1942-02-26,82,Feminino,Viúvo,Brasileira,Ensino Médio,Empresário,7716.84,0.0,Não,,13321-902,807,Corrente,1967-10-10,57.379876796714576,24813.52,11609.78,35,339.68,Transferência,Média,Sim,Imobiliário,2175581.74,0.77,300.0,Em Dia,Agência Física,1.0,Neutro,26862.7,-7.63,13789.59,49.48,15,678067.25,0.89,Moderado,Média Renda,Sim,Não,Não,Não,82.39,0.2,100.0,1
Pedro Henrique Mendonça,1942-02-26,82,Masculino,Casado,Brasileira,Pós-Graduação,Aposentado,,0.0,Não,13.7,63187-652,824,Salário,1989-04-19,35.854893908282,23491.25,0.0,22,554.22,Saque,Baixa,Sim,Consignado,40100.38,2.07,24.0,Em Dia,Agência Física,0.0,Neutro,24436.87,-3.87,28403.06,6.79,13,499912.41,1.35,Conservador,Média Renda,Sim,Sim,Não,Sim,77.74,0.1,58.52,0
Dra. Camila Peixoto,1942-02-26,82,Masculino,Viúvo,Portuguesa,Superior Incompleto,Aposentado,4025.91,0.0,Sim,26.8,99545-150,722,Poupança,1964-11-09,60.29568788501027,48062.74,0.0,4,1459.69,Transferência,Baixa,Não,,,,,,Agência Física,0.0,Neutro,46012.31,4.46,9900.27,34.79,17,199572.52,1.65,Moderado,Média Renda,Sim,Não,Sim,Não,64.7,2.1,79.74,1
Oliver Moreira,1942-02-26,82,Masculino,Casado,Brasileira,Superior Incompleto,Aposentado,3005.57,0.0,Não,15.3,,702,Poupança,1981-11-15,43.279945242984255,172704.91,0.0,4,1388.65,Depósito,Média,Não,,,,,,Internet Banking,1.0,Neutro,169848.54,1.68,6793.22,60.11,8,579425.67,2.75,Moderado,Alta Renda,Não,Não,Não,Não,,,19.43,0
Pedro Miguel da Luz,1942-02-26,82,Masculino,Casado,Brasileira,Ensino Médio,Aposentado,2203.27,1.0,Não,9.7,86572-330,659,Salário,2003-10-03,21.399041752224505,9326.43,0.0,7,456.35,Compra Crédito,Média,Não,,,,,,Internet Banking,0.0,Insatisfeito,9541.51,-2.25,5370.84,36.72,8,92312.08,1.96,Conservador,Varejo,Sim,Não,Não,Não,82.97,0.4,91.3,1
Calebe Brito,1942-02-26,82,Feminino,Casado,Brasileira,Pós-Graduação,Aposentado,3882.83,0.0,Sim,36.5,42375-347,747,Corrente,2003-01-20,22.09993155373032,27467.63,4396.42,29,378.98,Transferência,Alta,Não,,,,,,Telefone,0.0,Neutro,25923.8,5.96,8136.08,26.62,10,669265.49,2.42,Conservador,Média Renda,Sim,Não,Não,Sim,89.78,0.5,68.75,0
Helena Aparecida,1942-02-26,82,Masculino,Solteiro,,,Aposentado,,0.0,Não,5.5,76235-878,704,Corrente,1972-05-17,52.77754962354552,-1138.97,2364.29,26,170.99,Compra Débito,Média,Não,,,,,,Agência Física,0.0,Neutro,-1318.69,-13.63,5474.06,55.55,13,183918.43,1.87,Moderado,Varejo,Não,Não,Não,Não,,,16.5,0
Dr. Arthur Miguel Vieira,1942-02-26,82,Feminino,Solteiro,,Ensino Fundamental,Aposentado,,,Não,,61638-294,690,Salário,2011-12-26,13.169062286105408,4585.18,0.0,7,497.24,Compra Crédito,Alta,Não,,,,,,Agência Física,0.0,Insatisfeito,4541.34,0.97,5157.15,63.67,7,61043.24,2.36,Conservador,Varejo,Não,Não,Não,Não,,,20.17,0
Pietro Correia,1942-02-26,82,Masculino,Viúvo,Brasileira,Ensino Médio,Autônomo,4272.05,0.0,Não,4.6,32255-999,550,Corrente,1991-02-06,34.053388090349074,14129.44,4889.25,26,676.21,Compra Crédito,Média,Sim,Pessoal,34792.2,3.97,48.0,Inadimplente,Agência Física,0.0,,18738.41,-24.6,4176.73,84.27,11,385291.09,3.45,Conservador,Média Renda,Sim,Não,Não,Não,75.09,2.5,84.97,1
Miguel Santos,1942-02-26,82,Feminino,Casado,Brasileira,Pós-Graduação,Aposentado,3883.43,0.0,Sim,7.9,91780-705,746,Corrente,2006-09-23,18.42573579739904,8552.47,5348.55,28,214.36,Pagamento de Boleto,Média,Não,,,,,,Agência Física,0.0,Neutro,8175.23,4.61,13049.7,66.51,8,105295.23,2.25,Moderado,Varejo,Sim,Não,Não,Não,51.19,1.6,100.0,1
Eloá Guerra,1942-02-26,82,Masculino,Casado,Brasileira,Superior Incompleto,Aposentado,4005.45,0.0,Sim,9.4,35770-287,737,Digital,2001-08-26,23.50171115674196,11231.5,0.0,12,245.07,Compra Débito,Média,Não,,,,,,Internet Banking,0.0,Neutro,12029.99,-6.64,7843.3,48.51,7,39135.03,2.13,Moderado,Média Renda,Sim,Não,Não,Não,56.42,4.2,68.08,1
Anthony Montenegro,1942-02-26,82,Masculino,Casado,Brasileira,,Recepcionista,3750.44,1.0,Não,15.1,11065-820,735,Salário,1983-06-09,41.71663244353183,12270.34,0.0,9,571.55,Compra Débito,Média,Não,,,,,,Internet Banking,0.0,Satisfeito,12217.88,0.43,5476.68,41.55,17,312417.06,2.13,Conservador,Varejo,Sim,Sim,Não,Não,55.18,0.9,58.81,0
Emanuel Vargas,1942-02-26,82,Masculino,Casado,Brasileira,Superior Completo,Aposentado,10003.12,0.0,Sim,27.4,,816,Poupança,1972-06-17,52.69267624914442,155886.12,0.0,7,,Depósito,Média,Não,,,,,,Internet Banking,0.0,Neutro,151545.21,2.86,40723.38,18.99,17,1284463.4,1.46,Moderado,Alta Renda,Sim,Sim,Não,Não,88.31,0.2,70.7,0
Joaquim Rezende,1942-02-26,82,Masculino,Casado,Brasileira,Pós-Graduação,Aposentado,2547.14,1.0,Não,20.8,24842-814,671,Corrente,1963-07-29,61.57973990417522,48583.62,3056.31,31,447.31,Compra Débito,Baixa,Não,,,,,,Agência Física,1.0,Insatisfeito,46627.19,4.2,4807.78,74.47,8,113812.96,1.55,Moderado,Média Renda,Não,Sim,Não,Não,,,17.44,0
Dra. Mirella Siqueira,1942-02-26,82,Feminino,Solteiro,Brasileira,Superior Completo,Aposentado,2641.16,0.0,Não,2.8,86844-183,754,Corrente,1977-11-17,47.27446954140999,4917.05,2873.24,19,182.68,Compra Débito,Média,Sim,Veículo,22870.07,1.2,48.0,Em Dia,Mobile Banking,0.0,Neutro,5163.35,-4.77,6081.19,10.2,10,397881.04,2.13,Conservador,Varejo,Sim,Não,Não,Não,49.65,0.1,45.71,0
Arthur Miguel Araújo,1942-02-26,82,Masculino,Solteiro,Brasileira,Superior Completo,Aposentado,2814.38,0.0,Não,,40959-737,790,Salário,1976-08-23,48.50924024640657,22653.75,0.0,9,334.29,Compra Débito,Alta,Sim,Veículo,17904.8,1.36,60.0,Em Dia,Agência Física,0.0,Satisfeito,21903.52,3.43,4128.36,40.09,13,114643.17,1.97,Conservador,Média Renda,Sim,Não,Não,Não,98.18,0.7,94.52,1
Clara da Luz,1942-02-26,82,Masculino,Viúvo,,Ensino Fundamental,Médico,2865.26,0.0,Sim,10.9,69862-261,696,Poupança,1990-10-05,34.392881587953454,100559.01,0.0,4,945.67,Transferência,Média,Não,,,,,,,2.0,Muito Insatisfeito,95945.2,4.81,3255.79,45.22,8,68978.27,2.23,Conservador,Alta Renda,Não,Não,Não,Não,,,21.82,0
Liz Fogaça,1942-02-26,82,Masculino,Casado,Brasileira,,Motorista,,0.0,Não,18.7,78244-759,707,Digital,1997-02-21,28.01095140314853,22229.21,0.0,16,345.47,Pagamento de Boleto,Alta,Não,,,,,,Mobile Banking,0.0,Neutro,21585.52,2.98,4244.12,54.19,6,184516.15,2.38,Conservador,Média Renda,Sim,Não,Não,Não,80.75,4.2,100.0,1
Lucas Lopes,1942-02-26,82,Masculino,Casado,Brasileira,Ensino Médio,Recepcionista,2266.59,0.0,Sim,1.8,24969-626,738,Digital,2016-08-07,8.553045859000685,1652.72,0.0,21,281.55,Transferência,Média,Sim,Veículo,20123.71,1.81,60.0,Em Dia,,0.0,Neutro,1574.41,4.97,4093.33,46.93,2,33717.45,1.93,Moderado,Varejo,Sim,Não,Não,Não,70.82,1.4,100.0,1
Maria Júlia Pimenta,1942-02-26,82,Outro,Viúvo,Brasileira,,Aposentado,2541.32,1.0,Sim,10.9,30671-272,716,Salário,1981-12-18,43.1895961670089,29208.0,0.0,6,447.79,Compra Crédito,Média,Não,,,,,,Agência Física,0.0,Neutro,29342.59,-0.46,3602.32,76.03,14,146995.97,1.95,Moderado,Média Renda,Sim,Não,Sim,Sim,59.41,1.7,97.24,1
Mathias Correia,1942-02-26,82,Feminino,Casado,Brasileira,Ensino Fundamental,Analista,,0.0,Sim,27.3,97914-791,779,Poupança,1964-11-11,60.290212183436005,19181.1,0.0,5,1171.91,Depósito,Alta,Sim,Pessoal,20380.12,2.94,48.0,Em Dia,,0.0,Neutro,18416.23,4.15,4315.03,32.75,23,667941.57,1.97,Conservador,Varejo,Sim,Não,Não,Não,77.31,0.8,100.0,1
Théo Silveira,1942-02-26,82,Feminino,Casado,Brasileira,Ensino Fundamental,Recepcionista,3088.0,1.0,Sim,8.5,73570-815,816,Corrente,2010-06-21,14.683093771389458,11071.68,4387.03,33,584.46,Saque,Média,Sim,Pessoal,20548.07,3.84,24.0,Em Dia,Mobile Banking,0.0,Satisfeito,11105.34,-0.3,10722.36,26.1,12,145189.44,1.49,Moderado,Varejo,Sim,Não,Não,Não,85.41,0.7,100.0,1
Ana Carolina Alves,1942-02-26,82,Feminino,Casado,,,Aposentado,2927.21,2.0,Sim,6.7,83303-654,751,Poupança,2005-07-24,19.59206023271732,26774.97,0.0,3,1752.98,Saque,Média,Não,,,,,,Telefone,0.0,Neutro,26961.64,-0.69,7877.6,51.19,8,183003.38,2.13,Conservador,Média Renda,Não,Não,Sim,Não,,,18.27,0
Maya Fernandes,1942-02-26,82,Feminino,Casado,Brasileira,Pós-Graduação,Aposentado,9507.88,0.0,Sim,11.5,55638-267,797,Salário,2021-07-24,3.592060232717317,15161.5,0.0,21,858.44,Compra Crédito,Alta,Não,,,,,,Agência Física,0.0,Neutro,14852.3,2.08,18550.16,25.1,7,683986.43,2.19,Moderado,Alta Renda,Sim,Sim,Sim,Não,83.58,0.0,58.04,0
Natália Jesus,1942-02-26,82,Feminino,Divorciado,Brasileira,,Analista,4045.54,0.0,Não,14.6,89635-728,600,Salário,1973-08-29,51.493497604380565,2427.04,0.0,10,250.9,Pagamento de Boleto,Alta,Sim,Pessoal,29972.57,3.12,48.0,Em Atraso,Agência Física,1.0,,2304.83,5.3,4693.54,56.82,14,586509.72,2.92,Conservador,Média Renda,Sim,Sim,Sim,Não,6.76,7.2,49.56,1
Lucca das Neves,1943-02-26,81,Masculino,Casado,Brasileira,Ensino Médio,Aposentado,2242.88,0.0,Não,2.6,11494-675,675,Poupança,1972-09-08,52.46543463381246,91864.95,0.0,3,910.61,Depósito,Baixa,Não,,,,,,Internet Banking,0.0,Neutro,89446.03,2.7,2924.6,15.55,15,232890.71,1.89,Moderado,Alta Renda,Não,Sim,Sim,Não,,,18.19,0
Alexandre Porto,1943-02-26,81,Masculino,Casado,Brasileira,Superior Incompleto,Aposentado,2860.45,0.0,Não,25.4,65906-244,714,Corrente,2016-09-10,8.459958932238193,70940.29,4358.7,30,391.03,Depósito,Baixa,Não,,,,,,Mobile Banking,,Neutro,83233.04,-14.77,7233.09,16.18,6,108033.71,2.26,Moderado,Alta Renda,Não,Não,Não,Não,,,18.07,0
Dra. Ana Cecília Sampaio,1943-02-26,81,Masculino,Viúvo,Brasileira,,Advogado,7290.01,2.0,Sim,17.8,66042-363,854,Poupança,1992-06-22,32.67898699520876,151840.74,0.0,5,1554.0,Saque,Alta,Sim,Pessoal,42112.98,2.58,36.0,Em Dia,Agência Física,0.0,Neutro,145539.91,4.33,14057.74,10.24,9,430407.58,1.29,Conservador,Alta Renda,Sim,Sim,Sim,Sim,85.14,0.3,60.41,0
Vitor Pastor,1943-02-26,81,Masculino,Casado,Brasileira,Ensino Médio,Enfermeiro,3621.03,0.0,Sim,13.1,,752,Salário,1984-10-18,40.35592060232717,14980.74,0.0,14,465.18,Compra Débito,Média,Não,,,,,,Agência Física,,Neutro,15110.44,-0.86,10827.87,8.56,13,140824.7,2.61,Conservador,Varejo,Sim,Sim,Não,Não,83.46,1.7,44.16,0
Manuela da Paz,1943-02-26,81,Outro,Divorciado,,Superior Incompleto,Aposentado,3419.96,0.0,Sim,63.0,11564-257,762,Salário,1995-09-13,29.453798767967147,16351.17,0.0,16,234.72,Transferência,Alta,Não,,,,,,Telefone,0.0,Neutro,16026.42,2.03,8884.49,64.47,11,122075.25,2.55,Conservador,Varejo,Sim,Não,Não,Não,88.29,0.0,100.0,1
Fernanda da Cruz,1943-02-26,81,Feminino,Divorciado,Brasileira,Superior Completo,Aposentado,3385.41,0.0,Não,18.9,79962-545,679,Corrente,2008-03-27,16.917180013689254,9074.74,3354.44,24,231.66,Compra Crédito,Média,Não,,,,,,Telefone,0.0,Neutro,9025.88,0.54,7607.3,61.71,7,123366.87,2.44,Moderado,Varejo,Sim,Sim,Não,Não,69.12,2.6,100.0,1
Breno Lima,1943-02-26,81,Masculino,Divorciado,Brasileira,Ensino Médio,Aposentado,3005.66,0.0,Sim,16.7,45365-904,744,Poupança,1993-12-03,31.23066392881588,62014.79,0.0,4,1182.31,Depósito,Média,Não,,,,,,Internet Banking,0.0,Neutro,60548.97,2.42,8477.28,26.91,11,248214.08,2.45,Moderado,Alta Renda,Não,Não,Sim,Não,,,23.86,0
Rebeca Silveira,1943-02-26,81,Masculino,Solteiro,Brasileira,Pós-Graduação,Aposentado,14078.58,0.0,Sim,6.9,22596-333,830,Corrente,2009-11-09,15.29637234770705,20072.64,19002.45,41,721.58,Compra Débito,Média,Não,,,,,,Agência Física,0.0,Neutro,17892.3,12.19,22253.97,60.86,10,338255.7,0.9,Moderado,Alta Renda,Sim,Não,Não,Sim,69.23,1.6,93.51,1
Ana Luiza Rodrigues,1943-02-26,81,Feminino,Divorciado,Brasileira,Ensino Médio,Professor,,0.0,Sim,8.4,95963-435,735,Salário,2002-07-24,22.5927446954141,2023.56,0.0,8,329.54,Transferência,Média,Não,,,,,,Agência Física,0.0,Neutro,1984.68,1.96,2919.98,35.07,15,565379.96,1.84,Moderado,Varejo,Não,Não,Não,Não,,,22.42,0
Srta. Maria Cecília da Cruz,1943-02-26,81,Feminino,Casado,,Superior Completo,Recepcionista,10219.77,0.0,Sim,9.9,33381-100,809,Salário,2015-10-19,9.35523613963039,23289.54,0.0,25,673.04,Pagamento de Boleto,Média,Não,,,,,,Agência Física,1.0,Insatisfeito,22946.68,1.49,23901.07,55.17,3,256511.56,1.2,Conservador,Alta Renda,Sim,Sim,Não,Sim,96.48,0.1,100.0,1
Clara Guerra,1943-02-26,81,Feminino,Divorciado,Brasileira,Ensino Médio,Aposentado,2311.39,2.0,Não,5.0,33953-574,717,Salário,1971-10-13,53.37166324435318,4052.97,0.0,10,145.7,Transferência,Média,Não,,,,,,Mobile Banking,0.0,Neutro,4206.93,-3.66,2696.88,78.17,26,528016.37,2.62,Moderado,Varejo,Não,Sim,Sim,Não,,,17.23,0
Matheus Silva,1943-02-26,81,Feminino,Viúvo,Brasileira,Superior Incompleto,Aposentado,1919.63,2.0,Sim,6.9,78128-331,717,Salário,1995-12-11,29.21013004791239,6325.91,0.0,8,198.69,Compra Crédito,Alta,Não,,,,,,Agência Física,0.0,Neutro,6611.92,-4.33,4235.68,25.32,7,70556.12,2.66,Conservador,Varejo,Sim,Não,Não,Sim,79.34,1.5,53.84,0
